year,month,city,searched
2018,3,三亚,1316861
2018,4,三亚,1159051
2018,5,三亚,1012626
2018,6,三亚,859464
2018,7,三亚,938940
2018,8,三亚,1048429
2018,9,三亚,971343
2018,10,三亚,1056371
2018,11,三亚,1115525
2018,12,三亚,1357478
2019,1,三亚,1339391
2019,2,三亚,1188198
2019,3,三亚,1210055
2019,4,三亚,1051959
2019,5,三亚,882501
2019,6,三亚,872875
2019,7,三亚,994117
2019,8,三亚,951958
2019,9,三亚,759546
2019,10,三亚,830426
2019,11,三亚,889242
2019,12,三亚,1035773
2020,1,三亚,895987
2020,2,三亚,601947
2020,3,三亚,708890
2020,4,三亚,726303
2020,5,三亚,766752
2020,6,三亚,833841
2020,7,三亚,950947
2020,8,三亚,1004130
2020,9,三亚,892105
2020,10,三亚,939696
2020,11,三亚,942551
2020,12,三亚,1041099
2021,1,三亚,972771
2021,2,三亚,883520
2021,3,三亚,1071031
2021,4,三亚,1035267
2021,5,三亚,1007825
2021,6,三亚,835277
2021,7,三亚,965662
2021,8,三亚,692874
2021,9,三亚,713276
2021,10,三亚,731005
2021,11,三亚,690593
2021,12,三亚,826777
2022,1,三亚,926079
2022,2,三亚,1012120
2022,3,三亚,887559
2022,4,三亚,750800
2022,5,三亚,700596
2022,6,三亚,786970
2022,7,三亚,912446
2022,8,三亚,1258767
2022,9,三亚,572322
2022,10,三亚,575109
2022,11,三亚,650345
2022,12,三亚,892836
2023,1,三亚,1178962
2023,2,三亚,882109
2023,3,三亚,809316
2023,4,三亚,753669
2023,5,三亚,691786
2023,6,三亚,695015
2023,7,三亚,782397
2023,8,三亚,745368
2023,9,三亚,620667
2023,10,三亚,628262
2023,11,三亚,659503
2023,12,三亚,827097
2011,1,三明,114045
2011,2,三明,105440
2011,3,三明,123957
2011,4,三明,122996
2011,5,三明,121552
2011,6,三明,129053
2011,7,三明,138754
2011,8,三明,136943
2011,9,三明,128282
2011,10,三明,132043
2011,11,三明,128008
2011,12,三明,125659
2012,1,三明,113936
2012,2,三明,121037
2012,3,三明,135037
2012,4,三明,124640
2012,5,三明,127392
2012,6,三明,129460
2012,7,三明,141301
2012,8,三明,126343
2012,9,三明,105870
2012,10,三明,109786
2012,11,三明,102713
2012,12,三明,100875
2013,1,三明,99373
2013,2,三明,86850
2013,3,三明,118456
2013,4,三明,103037
2013,5,三明,102316
2013,6,三明,103806
2013,7,三明,186110
2013,8,三明,187218
2013,9,三明,171873
2013,10,三明,195959
2013,11,三明,175164
2013,12,三明,156078
2014,1,三明,166308
2014,2,三明,174077
2014,3,三明,180911
2014,4,三明,194495
2014,5,三明,185823
2014,6,三明,176922
2014,7,三明,186215
2014,8,三明,219305
2014,9,三明,189221
2014,10,三明,178909
2014,11,三明,165310
2014,12,三明,178145
2015,1,三明,175675
2015,2,三明,164334
2015,3,三明,203187
2015,4,三明,185103
2015,5,三明,198784
2015,6,三明,212519
2015,7,三明,234738
2015,8,三明,230612
2015,9,三明,190675
2015,10,三明,194647
2015,11,三明,182330
2015,12,三明,198083
2016,1,三明,197574
2016,2,三明,183704
2016,3,三明,206539
2016,4,三明,179474
2016,5,三明,219342
2016,6,三明,196363
2016,7,三明,216637
2016,8,三明,209208
2016,9,三明,195212
2016,10,三明,201249
2016,11,三明,176405
2016,12,三明,204568
2017,1,三明,200415
2017,2,三明,190985
2017,3,三明,215990
2017,4,三明,200432
2017,5,三明,202202
2017,6,三明,248994
2017,7,三明,279555
2017,8,三明,267705
2017,9,三明,217608
2017,10,三明,216753
2017,11,三明,191587
2017,12,三明,205099
2018,1,三明,226098
2018,2,三明,227300
2018,3,三明,240512
2018,4,三明,233526
2018,5,三明,232057
2018,6,三明,233587
2018,7,三明,265879
2018,8,三明,265024
2018,9,三明,227760
2018,10,三明,238955
2018,11,三明,225644
2018,12,三明,235025
2019,1,三明,253229
2019,2,三明,256202
2019,3,三明,251955
2019,4,三明,255777
2019,5,三明,250416
2019,6,三明,271091
2019,7,三明,274871
2019,8,三明,265692
2019,9,三明,194015
2019,10,三明,216873
2019,11,三明,208481
2019,12,三明,213889
2020,1,三明,229758
2020,2,三明,215291
2020,3,三明,222344
2020,4,三明,234736
2020,5,三明,233029
2020,6,三明,225960
2020,7,三明,270853
2020,8,三明,283188
2020,9,三明,240293
2020,10,三明,240655
2020,11,三明,229464
2020,12,三明,291846
2021,1,三明,268420
2021,2,三明,224993
2021,3,三明,306612
2021,4,三明,240550
2021,5,三明,242890
2021,6,三明,243860
2021,7,三明,282755
2021,8,三明,233355
2021,9,三明,249142
2021,10,三明,202334
2021,11,三明,195117
2021,12,三明,202533
2022,1,三明,224409
2022,2,三明,237858
2022,3,三明,247881
2022,4,三明,221431
2022,5,三明,214354
2022,6,三明,249535
2022,7,三明,245056
2022,8,三明,218510
2022,9,三明,181379
2022,10,三明,191291
2022,11,三明,174550
2022,12,三明,188669
2023,1,三明,215389
2023,2,三明,191340
2023,3,三明,202936
2023,4,三明,195840
2023,5,三明,243059
2023,6,三明,232240
2023,7,三明,259168
2023,8,三明,235112
2023,9,三明,194318
2023,10,三明,187315
2023,11,三明,167030
2023,12,三明,278980
2011,1,三门峡,170073
2011,2,三门峡,149562
2011,3,三门峡,191950
2011,4,三门峡,192918
2011,5,三门峡,314688
2011,6,三门峡,258008
2011,7,三门峡,238581
2011,8,三门峡,233932
2011,9,三门峡,240446
2011,10,三门峡,222141
2011,11,三门峡,215997
2011,12,三门峡,215451
2012,1,三门峡,192714
2012,2,三门峡,218560
2012,3,三门峡,242626
2012,4,三门峡,253736
2012,5,三门峡,270043
2012,6,三门峡,235067
2012,7,三门峡,270190
2012,8,三门峡,242891
2012,9,三门峡,209365
2012,10,三门峡,203704
2012,11,三门峡,193144
2012,12,三门峡,182947
2013,1,三门峡,216946
2013,2,三门峡,207883
2013,3,三门峡,239450
2013,4,三门峡,266644
2013,5,三门峡,275058
2013,6,三门峡,224563
2013,7,三门峡,384395
2013,8,三门峡,360816
2013,9,三门峡,371689
2013,10,三门峡,368577
2013,11,三门峡,323075
2013,12,三门峡,301926
2014,1,三门峡,291575
2014,2,三门峡,294552
2014,3,三门峡,335897
2014,4,三门峡,368014
2014,5,三门峡,352318
2014,6,三门峡,318181
2014,7,三门峡,375189
2014,8,三门峡,424238
2014,9,三门峡,398643
2014,10,三门峡,364278
2014,11,三门峡,347867
2014,12,三门峡,358965
2015,1,三门峡,358802
2015,2,三门峡,288055
2015,3,三门峡,379051
2015,4,三门峡,389659
2015,5,三门峡,381353
2015,6,三门峡,376508
2015,7,三门峡,515729
2015,8,三门峡,460480
2015,9,三门峡,391512
2015,10,三门峡,372210
2015,11,三门峡,340731
2015,12,三门峡,370490
2016,1,三门峡,377141
2016,2,三门峡,359326
2016,3,三门峡,409934
2016,4,三门峡,435672
