year,month,city,nums
2018,4,咸阳,26
2018,4,哈密,1
2018,4,哈尔滨,494
2018,4,唐山,23
2018,4,商丘,10
2018,4,商洛,2
2018,4,嘉兴,129
2018,4,四川省,1
2018,4,四平,7
2018,4,大同,12
2018,4,大庆,11
2018,4,大理,1
2018,4,大理白族自治州,5
2018,4,大连,505
2018,4,天水,3
2018,4,天津,1546
2018,4,天门,1
2018,4,太仓,2
2018,4,太原,353
2018,4,威海,73
2018,4,娄底,3
2018,4,孝感,16
2018,4,宁德,16
2018,4,宁波,690
2018,4,安庆,6
2018,4,安康,3
2018,4,安阳,17
2018,4,安顺,1
2018,4,宜兴,1
2018,4,宜宾,7
2018,4,宜昌,46
2018,4,宜春,5
2018,4,宝鸡,25
2018,4,宣城,2
2018,4,宿州,3
2018,4,宿迁,14
2018,4,岳阳,5
2018,4,崇左,1
2018,4,巢湖,1
2018,4,巴中,6
2018,4,常州,292
2018,4,常德,17
2018,4,常熟,4
2018,4,平凉,1
2018,4,平顶山,6
2018,4,广东省,17
2018,4,广元,4
2018,4,广安,4
2018,4,广州,6433
2018,4,廊坊,48
2018,4,延安,3
2018,4,延边,1
2018,4,开封,7
2018,4,张家口,3
2018,4,张家界,1
2018,4,徐州,125
2018,4,德宏傣族景颇族自治州,4
2018,4,德州,21
2018,4,德阳,8
2018,4,忻州,2
2018,4,怀化,2
2018,4,怒江傈僳族自治州,1
2018,4,惠州,82
2018,4,慈溪,1
2018,4,成都,2794
2018,4,扬州,80
2018,4,承德,1
2018,4,抚州,4
2018,4,抚顺,4
2018,4,拉萨,7
2018,4,揭阳,8
2018,4,攀枝花,4
2018,4,新乡,38
2018,4,新余,2
2018,4,方家山,1
2018,4,无锡,678
2018,4,日照,31
2018,4,昆山,12
2018,4,昆明,642
2018,4,昭通,5
2018,4,晋中,11
2018,4,晋城,6
2018,4,晋江,3
2018,4,普洱,5
2018,4,景德镇,2
2018,4,曲靖,10
2018,4,朔州,18
2018,4,朝阳,5
2018,4,本溪,2
2018,4,来宾,2
2018,4,杨凌,1
2018,4,杭州,2876
2018,4,松原,1
2018,4,枣庄,17
2018,4,柳州,21
2018,4,株洲,28
2018,4,桂林,45
2018,4,梅州,10
2018,4,梧州,2
2018,4,楚雄彝族自治州,5
2018,4,榆林,1
2018,4,武威,1
2018,4,武汉,2883
2018,4,毕节,1
2018,4,永州,3
2018,4,汉中,4
2018,4,汕头,18
2018,4,汕尾,5
2018,4,江苏省,6
2018,4,江门,77
2018,4,池州,3
2018,4,沈阳,916
2018,4,沧州,11
2018,4,河北省,2
2018,4,河南省,2
2018,4,河源,10
2018,4,泉州,241
2018,4,泰安,32
2018,4,泰州,15
2018,4,泸州,15
2018,4,洛阳,103
2018,4,济南,950
2018,4,济宁,46
2018,4,济源,2
2018,4,浙江省,2
2018,4,海口,79
2018,4,淄博,78
2018,4,淮北,3
2018,4,淮南,4
2018,4,淮安,15
2018,4,深圳,7693
2018,4,清远,15
2018,4,温岭,1
2018,4,温州,257
2018,4,渭南,7
2018,4,湖北省,1
2018,4,湖南省,4
2018,4,湖州,35
2018,4,湘潭,14
2018,4,湛江,11
2018,4,滁州,10
2018,4,满洲里,1
2018,4,滨州,12
2018,4,漯河,10
2018,4,漳州,61
2018,4,潍坊,121
2018,4,潜江,3
2018,4,潮州,3
2018,4,濮阳,6
2018,4,烟台,177
2018,4,焦作,11
2018,4,燕郊,1
2018,4,牡丹江,6
2018,4,玉林,7
2018,4,玉溪,7
2018,4,珠海,81
2018,4,甘孜,1
2018,4,甘孜藏族自治州,1
2018,4,白城,1
2018,4,白山,1
2018,4,白银,3
2018,4,百色,3
2018,4,盐城,11
2018,4,盘锦,1
2018,4,眉山,7
2018,4,石嘴山,1
2018,4,石家庄,441
2018,4,石河子,1
2018,4,福州,756
2018,4,秦皇岛,18
2018,4,简阳,1
2018,4,红河哈尼族彝族自治州,5
2018,4,绍兴,78
2018,4,绥化,1
2018,4,绵阳,70
2018,4,聊城,27
2018,4,肇庆,27
2018,4,胶州,1
2018,4,自贡,5
2018,4,舟山,3
2018,4,芜湖,76
2018,4,苏州,1710
2018,4,茂名,7
2018,4,荆州,18
2018,4,荆门,8
2018,4,莆田,32
2018,4,莱芜,7
2018,4,菏泽,50
2018,4,菲律宾,3
2018,4,萍乡,1
2018,4,营口,9
2018,4,葫芦岛,3
2018,4,蚌埠,4
2018,4,衡水,6
2018,4,衡阳,8
2018,4,衢州,11
2018,4,襄樊,1
2018,4,西双版纳,1
2018,4,西双版纳傣族自治州,2
2018,4,西宁,20
2018,4,西安,1472
2018,4,西平,1
2018,4,许昌,18
2018,4,贵阳,178
2018,4,贺州,1
2018,4,资阳,6
2018,4,赣州,27
2018,4,达州,5
2018,4,运城,3
2018,4,连云港,35
2018,4,通化,3
2018,4,通辽,4
2018,4,遂宁,8
2018,4,遵义,15
2018,4,邢台,23
2018,4,邯郸,63
2018,4,邵阳,7
2018,4,郑州,1515
2018,4,郴州,6
2018,4,鄂尔多斯,8
2018,4,鄂州,4
2018,4,酒泉,2
2018,4,重庆,1334
2018,4,金华,95
2018,4,钦州,2
2018,4,铁岭,2
2018,4,铜川,2
2018,4,铜陵,2
2018,4,银川,34
2018,4,锡林郭勒盟,1
2018,4,锦州,9
2018,4,镇江,20
2018,4,长春,301
2018,4,长沙,1017
2018,4,长治,2
2018,4,阜新,1
2018,4,阜阳,10
2018,4,防城港,1
2018,4,阳江,8
2018,4,阳泉,1
2018,4,阿拉善盟,1
2018,4,随州,6
2018,4,雅安,2
2018,4,青岛,946
2018,4,鞍山,2
2018,4,韶关,10
2018,4,顺德,2
2018,4,香河,1
2018,4,马来西亚,7
2018,4,马鞍山,14
2018,4,驻马店,11
2018,4,鹤壁,2
2018,4,鹰潭,4
2018,4,黄冈,7
2018,4,黄山,2
2018,4,黄石,9
2018,4,黑河,1
2018,4,黔东南,1
2018,4,黔南布依族苗族自治州,1
2018,4,黔西南,1
2018,4,龙岩,17
2018,5,nan,1
2018,5,万宁,1
2018,5,三亚,6
2018,5,三明,4
2018,5,三门峡,1
2018,5,上海,2762
2018,5,上饶,12
